eepsilon =0.1
psilon=0.75 
Epoch 106/350 | Train NLL: -8.6539 | Test NLL (best arm 32): -9.5162 | Bandit epsilon: 0.7500
Epoch 107/350 | Train NLL: -7.2007 | Test NLL (best arm 32): -9.5225 | Bandit epsilon: 0.7500
Epoch 108/350 | Train NLL: -11.5414 | Test NLL (best arm 32): -11.0410 | Bandit epsilon: 0.7500
Epoch 109/350 | Train NLL: -11.7673 | Test NLL (best arm 32): -11.1986 | Bandit epsilon: 0.7500
Epoch 110/350 | Train NLL: -11.5666 | Test NLL (best arm 32): -12.6998 | Bandit epsilon: 0.7500
Epoch 111/350 | Train NLL: -10.7168 | Test NLL (best arm 32): -7.7888 | Bandit epsilon: 0.7500
Epoch 112/350 | Train NLL: -12.2580 | Test NLL (best arm 32): -13.3410 | Bandit epsilon: 0.7500
Epoch 113/350 | Train NLL: -14.5886 | Test NLL (best arm 32): -15.2411 | Bandit epsilon: 0.7500
Epoch 114/350 | Train NLL: -14.6058 | Test NLL (best arm 32): -14.8015 | Bandit epsilon: 0.7500
Epoch 115/350 | Train NLL: -14.1058 | Test NLL (best arm 32): -14.8119 | Bandit epsilon: 0.7500
Epoch 116/350 | Train NLL: -15.2171 | Test NLL (best arm 32): -14.6831 | Bandit epsilon: 0.7500
Epoch 117/350 | Train NLL: -16.3039 | Test NLL (best arm 32): -16.7105 | Bandit epsilon: 0.7500
Epoch 118/350 | Train NLL: -15.3605 | Test NLL (best arm 32): -13.8109 | Bandit epsilon: 0.7500
Epoch 119/350 | Train NLL: -17.1396 | Test NLL (best arm 32): -16.8821 | Bandit epsilon: 0.7500
Epoch 120/350 | Train NLL: -16.4794 | Test NLL (best arm 32): -16.9786 | Bandit epsilon: 0.7500
Epoch 121/350 | Train NLL: -19.2094 | Test NLL (best arm 32): -18.9407 | Bandit epsilon: 0.7500
Epoch 122/350 | Train NLL: -19.3319 | Test NLL (best arm 32): -18.2893 | Bandit epsilon: 0.7500
